story_id,course_id,positon,text,type,voice_1,voice_2,voice_3,image_1,image_2,image_3,image_interaction,interaction_voice,interaction_point,
1,1,1,,1,medias/pages/audios/start.mp3,,,medias/pages/images/Start.png,,,,,,
1,1,2,,1,medias/pages/audios/page1.mp3,,,medias/pages/images/pageLeft1.png,medias/pages/images/pageRight1.png,,,,,
1,1,3,,2,medias/pages/audios/page2.mp3,,,medias/pages/images/pageLeft2.png,medias/pages/images/pageRight2.png,,,medias/pages/audios/tap-to-dad.mp3,"43,44,45,59,60,61,75,76,77,91,92,93,107,108,109,123,124,125",
1,1,4,,2,medias/pages/audios/page3.mp3,,,medias/pages/images/pageLeft3.png,medias/pages/images/pageRight3.png,,,medias/pages/audios/tap-to-baby.mp3,"60,61,76,77,92,93",
1,1,5,,1,medias/pages/audios/page4.mp3,,,medias/pages/images/pageLeft4.png,medias/pages/images/pageRight4.png,,,,,
1,1,6,,2,medias/pages/audios/page5.mp3,,,medias/pages/images/pageLeft5.png,medias/pages/images/pageRight5.png,,,medias/pages/audios/tap-to-mom.mp3,"59,60,61,62,63,76,77,78,79,92,93,94,95,108,109,110,111",
1,1,7,,1,medias/pages/audios/page6.mp3,,,medias/pages/images/pageLeft6.png,medias/pages/images/pageRight6.png,,,,,
1,1,8,,1,medias/pages/audios/page7.mp3,,,medias/pages/images/pageLeft7.png,medias/pages/images/pageRight7.png,,,,,
1,1,9,,1,medias/pages/audios/theend.mp3,,,medias/pages/images/the-end.png,,,,,,
